date,business,amount
2019-03-07,5ka,-1545.43
2018-09-06,QIWI,-5004.45
2016-11-12,Google Play,-1368.92
2016-05-16,HSE,-4941.98
2019-08-28,Papa John's,-3652.5
2019-10-08,HSE,886.48
2016-10-19,Amazon,286.59
2017-07-24,Dr. Head,-3724.25
2016-03-29,Starbucks,9340.06
2018-12-14,Yves Rocher,-5893.96
2018-06-29,Yandex.Money,-2138.16
2018-12-22,Burger King,-7665.27
2016-10-19,Amazon,3578.25
2018-05-22,Local Kitchen,-8339.94
2018-12-17,KFC,3148.07
2017-02-05,VK,-3156.85
2017-12-20,Friday's,2208.42
2017-11-23,Yves Rocher,7246.95
2018-09-03,Perekrestok,-4138.56
2018-12-04,VK,-6506.77
2019-12-02,World of Warcraft,9056.51
2016-10-18,Yves Rocher,-5212.2
2018-02-16,VK,3085.91
2018-01-13,Mindbox,7801.91
2016-01-12,5ka,-93.53
2018-11-27,Yandex.Money,2090.71
2019-08-16,McDonald's,4851.2
2018-09-05,VK,-8392.85
2017-05-15,OZON,8489.35
2016-05-15,Coinbase,-714.95
2018-05-24,5ka,-8846.08
2016-01-21,Papa John's,-6236.94
2018-11-11,5ka,5404.36
2019-02-22,Yandex.Money,-4226.8
2016-03-30,Coinbase,-4329.98
2016-07-11,Starbucks,-1382.91
2016-07-10,McDonald's,808.01
2016-09-07,World of Warcraft,-1786.92
2018-04-01,KFC,-5351.01
2018-09-13,Mindbox,9862.51
2018-01-24,Steam,-8673.04
2016-12-19,Mindbox,-5357.55
2018-08-11,Google Play,-6008.8
2018-08-18,Stellar,1880.7
2019-12-08,Burger King,7215.57
2018-10-26,Dodo Pizza,626.13
2016-08-20,Stellar,-4988.71
2019-07-09,World of Warcraft,-2303.77
2018-09-24,OZON,6752.14
2019-11-29,Dr. Head,-7758.09
2019-02-20,Dr. Head,-7431.23
2018-08-01,5ka,-5365.58
2017-08-19,5ka,-8089.75
2019-11-09,Coinbase,1066.8
2017-08-27,Papa John's,4892.95
2018-06-30,Google Play,-3589.79
2017-09-29,Coinbase,2410.02
2018-01-10,Local Kitchen,5680.69
2019-11-12,Wildberries,-2659.9
2018-07-26,Google Play,-8938.45
2018-05-08,OZON,7076.81
2018-12-24,McDonald's,1941.83
2017-10-07,Local Kitchen,-8128.14
2017-01-29,Google Play,-4718.44
2018-03-04,Wildberries,-4841.62
2017-12-02,Local Kitchen,1008.31
2019-08-13,5ka,3467.81
2017-01-03,Yandex.Money,-3641.44
2016-04-11,World of Warcraft,-1727.04
2018-02-11,OZON,-1608.64
2016-06-09,Perekrestok,-4925.63
2016-04-17,Perekrestok,-7369.8
2016-06-08,Amazon,6467.96
2017-06-20,Dodo Pizza,-3674.47
2019-04-25,McDonald's,4821.8
2018-06-16,Perekrestok,7021.93
2018-07-28,Starbucks,4045.94
2017-03-17,World of Warcraft,2405.25
2018-08-10,Coinbase,6620.45
2019-11-16,McDonald's,-5167.16
2018-02-16,Friday's,2009.4
2018-12-17,Coinbase,-7649.53
2019-12-15,Yandex.Money,-9833.63
2017-01-12,Mindbox,6593.49
2017-02-16,McDonald's,7530.01
2019-07-29,QIWI,-9126.07
2018-10-02,Friday's,5510.43
2019-11-03,OZON,-252.76
2017-07-01,Stellar,816.99
2016-06-27,KFC,5556.27
2018-12-11,Dr. Head,3502.87
2017-01-02,Local Kitchen,-1514.41
2016-07-24,Papa John's,-2093.59
2016-11-15,Mindbox,9292.75
2018-11-16,World of Warcraft,2302.95
2017-09-15,HSE,-5013.63
2019-06-11,5ka,-7667.41
2017-12-14,Yandex.Money,-9744.48
2018-08-29,Yandex.Money,-4534.32
2016-02-21,Starbucks,-2445.52
2019-12-28,Dodo Pizza,-7762.75
2018-07-09,Papa John's,5628.76
2019-05-11,Papa John's,9269.47
2019-06-21,Perekrestok,1205.47
2018-01-11,McDonald's,-6582.69
2017-01-29,5ka,-6761.48
2017-05-20,Burger King,4510.79
2017-12-25,World of Warcraft,-2460.02
2017-11-09,Steam,-9307.63
2019-02-13,Local Kitchen,-7081.82
2017-06-05,OZON,-6935.51
2017-08-09,KFC,9262.09
2018-12-24,OZON,-5706.26
2019-07-01,Stellar,-6529.13
2019-10-18,OZON,8294.99
2019-02-16,OZON,-928.47
2019-11-25,Amazon,-6342.13
2016-11-20,Dr. Head,1043.24
2019-02-12,Starbucks,-4508.17
2019-01-01,QIWI,8084.26
2018-02-23,Yves Rocher,8473.53
2019-02-17,Yandex.Money,-8375.26
2016-01-31,Mindbox,-7474.66
2018-06-04,5ka,-3126.86
2019-04-15,Local Kitchen,9477.03
2018-02-14,Yandex.Money,3086.48
2019-08-27,QIWI,8809.23
2016-04-20,Papa John's,8713.76
2016-07-28,Dodo Pizza,-4179.73
2019-12-24,OZON,-3028.51
2016-10-05,McDonald's,5694.09
2018-04-20,World of Warcraft,-6362.39
2019-01-18,HSE,4767.74
2017-12-09,Starbucks,-2760.02
2016-03-06,Starbucks,-4178.36
2017-09-09,Dr. Head,-4113.59
2019-03-02,5ka,9554.18
2018-06-04,Starbucks,-6570.72
2018-09-14,Mindbox,9655
2017-10-26,VK,-1210.47
2018-08-28,Perekrestok,2874.41
2018-07-20,5ka,-2362.69
2019-11-03,Stellar,8028.69
2018-11-17,Perekrestok,7417.65
2018-01-16,Yves Rocher,9631.06
2018-12-17,Dr. Head,-3954.69
2019-05-22,Amazon,1940
2016-01-08,Steam,7820.55
2017-08-28,VK,-1987.05
2018-04-24,5ka,-4110.78
2019-06-23,Google Play,-6008.62
2019-10-27,HSE,-1483.4
2019-12-18,VK,-3340.02
2018-07-29,Starbucks,-5130.29
2019-12-18,Friday's,1998.41
2017-11-05,KFC,4968.87
2017-09-24,Perekrestok,7123.66
2019-01-17,VK,-9760.98
2017-10-24,Stellar,-6878.61
2019-04-17,Mindbox,9917.18
2017-10-08,Starbucks,3166.8
2018-05-22,Steam,-9888.74
2018-09-14,Starbucks,-9353.25
2019-04-01,Coinbase,4853.59
2019-11-12,Dodo Pizza,-8178.12
2016-12-12,Dodo Pizza,-8696.87
2016-06-20,OZON,-5023.56
2016-05-17,Stellar,3361.64
2016-03-29,Dodo Pizza,8068.59
2016-10-01,Burger King,6484.41
2017-12-26,Friday's,9450.04
2017-07-05,5ka,-3030.65
2016-04-03,QIWI,7419.57
2016-09-28,Friday's,6208.67
2017-12-15,KFC,7759.75
2017-08-11,Burger King,-6050.23
2017-01-29,QIWI,-7740.8
2016-09-20,Burger King,3498.3
2019-05-23,KFC,5596.06
2019-07-25,Amazon,-1229.07
2019-11-22,Wildberries,8583.04
2016-07-24,KFC,7909.83
2016-02-26,Dodo Pizza,4843.11
2019-01-13,Burger King,4347.58
2018-02-19,Papa John's,4563.65
2016-04-26,Steam,-1378.22
2017-05-27,VK,3310.81
2019-03-17,Friday's,4866.24
2017-08-18,Google Play,1017.68
2018-09-13,QIWI,-1615.33
2017-01-16,Stellar,-5664.17
2017-12-24,QIWI,5779.13
2019-11-11,Starbucks,-9279.56
2016-03-31,Dr. Head,-9642.63
2018-08-28,Wildberries,1310.38
2019-01-16,OZON,1167.64
2016-04-16,Dodo Pizza,1930.71
2019-12-30,Yves Rocher,-2371.04
2018-10-15,Steam,6194.99
2016-09-03,Friday's,5457.05
2019-08-03,Dodo Pizza,-3474.29
2019-09-12,OZON,5575.95
2018-12-29,Steam,2800.33
2019-06-07,Stellar,-1784.95
2016-03-01,Burger King,1526.2
2016-08-11,Perekrestok,-3949.69
2018-10-19,OZON,3596.64
2019-02-14,Local Kitchen,1871.74
2018-08-13,Amazon,-3789.29
2018-07-12,QIWI,-6128.31
2018-12-05,Dr. Head,-6611.94
2016-10-03,Yves Rocher,1859.19
2016-06-18,Mindbox,-2810.63
2018-03-16,HSE,5444.15
2017-01-08,Burger King,-1714.83
2019-11-26,VK,-2057.69
2017-05-13,HSE,1707.93
2016-02-01,Starbucks,8154.1
2019-05-03,Google Play,6871.5
2019-08-26,Google Play,165.26
2019-08-29,McDonald's,9473.57
2017-05-04,Dr. Head,1084.61
2019-07-09,Yandex.Money,9621.16
2016-03-27,Friday's,-5104.34
2017-08-13,World of Warcraft,8611.24
2016-07-10,Coinbase,-3527.88
2017-01-29,World of Warcraft,5005.28
2018-06-25,Google Play,-3709.73
2018-01-28,5ka,18
2019-10-07,Coinbase,3577.03
2017-02-05,Local Kitchen,1083.79
2018-12-29,Dodo Pizza,6151.72
2017-09-12,Google Play,839.88
2017-11-20,Starbucks,8464.34
2017-08-15,5ka,-6856.85
2016-05-05,5ka,-1032.4
2017-05-13,Friday's,-4915.3
2017-12-18,Wildberries,-9382.89
2018-06-22,Dr. Head,7309.79
2019-12-29,McDonald's,-3197.97
2019-05-23,McDonald's,9648.08
2017-03-07,World of Warcraft,9128.83
2017-08-16,Burger King,5731.29
2019-03-30,Steam,-1993.08
2019-12-28,QIWI,-7869.05
2018-08-11,Papa John's,-7847.28
2018-05-25,Yves Rocher,-5698.77
2016-01-24,Burger King,-8474.56
2016-06-21,Amazon,6764.13
2018-04-10,McDonald's,-4540.73
2019-06-11,Coinbase,-2538.89
2017-02-28,Dr. Head,-1200.88
2018-05-05,Stellar,-8528.62
2018-04-29,Friday's,2106.41
2017-06-06,5ka,-6849.63
2017-03-01,Dr. Head,9140.93
2016-02-15,5ka,7127.94
2018-03-04,Stellar,-5806.92
2019-07-25,Amazon,7656.74
2019-04-19,Google Play,3822.44
2017-10-18,Amazon,8841.47
2019-10-19,Google Play,4785.83
2017-01-20,KFC,-518.94
2019-03-21,Yves Rocher,-3899.42
2017-02-12,Local Kitchen,-4197
2017-01-05,Dodo Pizza,8357.22
2017-10-20,VK,4350.26
2016-02-08,Coinbase,-2692.4
2018-01-11,World of Warcraft,-246.47
2018-11-08,Google Play,-9550.32
2019-05-07,VK,344.14
2018-06-07,HSE,8444.37
2016-08-11,Local Kitchen,1381.58
2017-11-22,Perekrestok,-6817.17
2017-06-25,Wildberries,1122.64
2018-04-07,Local Kitchen,-6809.11
2019-02-13,KFC,-45.06
2017-06-15,Coinbase,-2922.1
2019-12-16,World of Warcraft,-1124.73
2018-01-06,Yves Rocher,-3753.78
2017-12-24,Yves Rocher,-8353.97
2017-12-09,Starbucks,5579.61
2016-04-25,Wildberries,-9489.05
2016-09-21,KFC,7651.39
2018-07-17,World of Warcraft,-4154.24
2017-09-14,HSE,-5506.72
2018-07-16,Friday's,-4775.83
2018-07-17,World of Warcraft,-440.73
2018-06-09,HSE,853.62
2017-07-27,KFC,8301.07
2017-12-23,OZON,2214.94
2016-11-23,Yves Rocher,2383.17
2016-06-20,Dr. Head,2280.18
2019-07-16,Google Play,-1422.58
2018-05-03,Starbucks,2491.14
2016-06-23,Burger King,-3620.45
2017-03-16,Stellar,4765.31
2017-10-28,Steam,-1641.33
2019-08-14,Burger King,521.97
2016-07-09,OZON,6186.49
2019-03-11,HSE,-1468
2017-01-27,Friday's,-309.68
2016-11-01,Yves Rocher,-6260.14
2017-08-07,HSE,-9462.23
2018-11-03,5ka,-1280.55
2016-10-15,Papa John's,8410.95
2017-12-13,Yandex.Money,6403.48
2018-09-13,QIWI,-1782.9
2018-01-11,Stellar,3192.99
2018-10-08,OZON,-4371.07
2016-08-27,KFC,-1466.25
2018-09-29,Papa John's,-2605
2019-05-16,Wildberries,8320.09
2018-09-24,Burger King,-4680.96
2018-03-18,World of Warcraft,4343.45
2018-11-25,Coinbase,-5599.86
2019-08-06,Mindbox,2066.72
2018-05-07,5ka,4172.54
2017-10-26,Stellar,7404.98
2018-07-04,Yandex.Money,3061.23
2019-03-24,Google Play,-4107.69
2017-11-01,Yandex.Money,8343.13
2016-01-30,Dodo Pizza,4868.65
2016-11-08,Friday's,2632.38
2019-08-31,Local Kitchen,2591.1
2019-11-16,Google Play,2879.87
2019-01-25,Burger King,-4592.64
2016-03-01,Steam,2502.38
2017-06-25,Yandex.Money,9670.31
2018-12-20,VK,-251.12
2019-05-28,Perekrestok,344.15
2019-04-28,QIWI,-1382.86
2017-05-20,McDonald's,-4234.13
2019-03-15,Burger King,7831.26
2018-01-22,Perekrestok,-6831.92
2018-06-09,Starbucks,-7655.16
2017-08-05,Yandex.Money,5193.26
2016-07-15,Papa John's,-7021.11
2018-06-09,McDonald's,4068.17
2018-04-08,HSE,6074.04
2019-01-15,Steam,-1050.63
2017-06-08,Yandex.Money,1777.53
2018-11-10,Starbucks,-7667.69
2019-09-19,Yves Rocher,8449.96
2017-04-08,Papa John's,-7145.68
2019-07-12,McDonald's,4125.86
2017-07-01,KFC,-4989.93
2019-03-12,VK,5314.46
2019-01-31,Friday's,-4552.91
2019-09-13,Friday's,-8443.25
2019-03-31,Google Play,4451.16
2018-02-07,Local Kitchen,9186.15
2017-07-04,KFC,-9957.98
2016-04-02,World of Warcraft,-1455.74
2017-09-14,OZON,3982.64
2018-10-20,Google Play,5157.25
2017-02-22,Coinbase,9022.62
2019-10-10,Mindbox,994.93
2016-10-21,HSE,859.76
2016-06-18,HSE,945.82
2018-06-16,Google Play,7830.57
2018-12-28,McDonald's,5766.94
2016-11-06,Perekrestok,-2117.35
2019-02-06,Wildberries,1061.04
2017-10-01,Dodo Pizza,5075.59
2019-01-23,Yves Rocher,-4456.07
2016-07-05,Dr. Head,-8725.53
2017-11-12,5ka,6478.38
2019-09-16,Yves Rocher,-6666.46
2019-07-16,Mindbox,7527.06
2017-04-15,Starbucks,-4421.36
2019-10-26,KFC,-2217.96
2017-02-19,World of Warcraft,-1809.18
2017-04-26,HSE,-5540.95
2016-04-30,Perekrestok,-1084.56
2016-05-23,HSE,-5244.75
2019-04-03,Mindbox,3473
2019-05-26,Coinbase,4289.63
2018-11-12,Google Play,5547.33
2019-07-22,Google Play,-743.97
2018-09-14,Papa John's,-2493.03
2016-11-01,Local Kitchen,-6259
2016-02-08,World of Warcraft,7726.55
2016-09-16,Mindbox,-202.78
2018-08-31,HSE,-1787.16
2016-05-19,Steam,330.06
2017-02-02,HSE,9115.45
2019-05-01,Dodo Pizza,-3658.75
2018-10-14,World of Warcraft,429.48
2018-03-12,KFC,1037.72
2019-05-06,Mindbox,-2066.11
2017-12-10,KFC,1782.23
2019-04-20,Yves Rocher,-3448.14
2018-01-11,Papa John's,-3747.47
2019-12-16,Wildberries,-6212.42
2018-08-03,Google Play,6348.11
2019-11-18,Yandex.Money,-8825.61
2016-11-17,Steam,-5254.97
2016-09-30,World of Warcraft,-3380.92
2018-09-05,Stellar,9772.7
2017-02-12,Friday's,9171.43
2019-07-15,HSE,-1370.91
2017-04-19,5ka,3910.11
2019-08-12,McDonald's,4938.35
2017-07-28,Google Play,4300.68
2019-01-11,McDonald's,-8578.63
2019-07-28,Perekrestok,1608.97
2019-06-16,Papa John's,2253.54
2019-02-15,Yandex.Money,3299.58
2019-12-18,Wildberries,317.13
2016-08-18,Amazon,4852.2
2017-10-10,Papa John's,2822.48
2019-06-24,HSE,7046.45
2019-04-23,QIWI,-6743.25
2018-03-31,Google Play,5060.94
2019-05-18,QIWI,-5779.77
2019-08-22,Wildberries,-5070.02
2019-12-20,HSE,-7764.44
2019-06-15,Mindbox,-8200.31
2018-04-03,Friday's,7576.86
2018-09-23,Coinbase,-3454.15
2017-06-07,Friday's,7782.58
2016-05-08,Starbucks,9369.13
2019-05-05,Wildberries,-184.02
2018-09-12,Stellar,-3333.06
2016-07-23,Starbucks,-3709.78
2017-05-09,Steam,2993.01
2017-12-16,Dodo Pizza,-6505.78
2016-04-27,VK,3483.86
2017-09-19,World of Warcraft,3835.81
2019-08-15,McDonald's,-8600.73
2019-05-27,World of Warcraft,-5194.61
2019-07-17,Papa John's,-2254.08
2018-03-28,Local Kitchen,-9640.72
2018-09-17,Dr. Head,-5768.79
2017-05-20,Burger King,-107.02
2016-05-17,5ka,4466.69
2016-03-19,Dodo Pizza,2065.33
2016-02-17,Yves Rocher,3398.8
2016-05-02,Wildberries,-3175.18
2016-08-09,McDonald's,3601.91
2017-10-08,Burger King,-9876.52
2019-04-19,Stellar,-849.09
2019-08-21,VK,6086.89
2018-08-25,Dodo Pizza,-6135.71
2019-02-06,Dodo Pizza,3756.9
2018-02-15,Perekrestok,-3353.56
2019-02-25,QIWI,2360.88
2016-12-17,Perekrestok,-3088.74
2019-01-03,Starbucks,4280.22
2016-10-30,VK,-1165.31
2017-07-24,Yandex.Money,2535.94
2016-09-08,Dodo Pizza,-8313.21
2018-04-13,Stellar,-3652.51
2016-12-14,Mindbox,-692.21
2019-07-18,Coinbase,-3859.44
2016-05-12,5ka,1621.84
2019-08-27,HSE,-7636.52
2016-11-21,QIWI,-5718.13
2016-11-07,Yves Rocher,4784.13
2017-03-28,World of Warcraft,-6178.41
2017-07-06,Local Kitchen,3011.36
2017-01-10,Dr. Head,6498.79
2019-06-01,Dr. Head,-7221.96
2019-11-17,Papa John's,7695.4
2016-04-15,Perekrestok,-405.08
2016-11-19,Perekrestok,-1531.32
2018-01-19,Stellar,-3545.41
2017-05-20,Mindbox,-8280.57
2016-09-01,Burger King,-2388.7
2017-10-22,Dodo Pizza,7498.89
2017-11-21,Yandex.Money,9804.23
2018-10-20,Friday's,-73.58
2017-02-23,Dr. Head,2545
2016-07-09,KFC,-6611.21
2016-05-11,Local Kitchen,-8430.32
2018-09-24,Coinbase,-4416.55
2018-07-15,Papa John's,959.24
2017-02-02,VK,-489.41
2018-01-06,HSE,-2203.1
2016-12-20,5ka,4712.92
2018-04-05,Mindbox,-7755.43
2018-10-16,Burger King,-3194.09
2019-10-23,Steam,9933.62
2016-01-13,Papa John's,-7569.97
2018-12-11,Mindbox,-8437.64
2019-07-15,Yandex.Money,-2159.32
2018-03-14,HSE,6625.03
2019-10-17,Amazon,6005.71
2017-06-19,Yandex.Money,-3667.63
2017-08-03,Wildberries,8051.82
2016-10-23,QIWI,5834.13
2018-09-24,McDonald's,-5170.21
2017-07-04,Papa John's,-8278.48
2017-05-09,Dodo Pizza,7658.74
2016-02-07,QIWI,-6917.04
2018-02-16,5ka,3944.54
2018-01-01,HSE,9167.57
2016-09-19,Local Kitchen,8179.14
2017-06-11,Local Kitchen,-5955.32
2019-02-26,World of Warcraft,8218.99
2019-06-04,World of Warcraft,-2503.8
2016-05-18,VK,-5893.48
2017-11-25,Local Kitchen,1913.92
2017-07-26,Coinbase,8526.63
2017-02-20,Starbucks,4770.69
2019-06-17,Google Play,5295.93
2017-06-11,Steam,-6679.64
2018-06-25,Yves Rocher,7967.72
2018-10-29,Coinbase,13.73
2017-10-24,Steam,9044.47
2016-05-26,Dodo Pizza,-2784.82
2016-07-14,OZON,-5657.49
2017-02-28,Starbucks,-6157.82
2019-06-27,Friday's,-6168.78
2017-04-26,KFC,-9728.12
2017-12-21,Stellar,4365.08
2016-09-12,Coinbase,3209.47
2016-06-05,Steam,7421.11
2019-03-09,Dr. Head,-6727.07
2017-01-08,HSE,-2048.25
2018-01-18,Perekrestok,5726.32
2019-08-14,Coinbase,3626.29
2019-07-28,Friday's,-2794.19
2018-10-27,KFC,334.36
2016-06-01,Perekrestok,2929.14
2018-04-29,Dr. Head,-8758.44
2016-11-06,Burger King,-2848.2
2017-03-02,Yandex.Money,3359.62
2018-05-23,Friday's,1535.31
2019-11-23,Friday's,-6188.58
2017-10-02,Yandex.Money,4206.42
2018-01-17,5ka,-6584.84
2018-08-13,Local Kitchen,-9430.23
2019-08-04,OZON,-8485.04
2019-01-24,Amazon,3122.44
2018-07-07,Steam,-6619.79
2019-09-29,KFC,5781.81
2018-12-08,Perekrestok,9622.48
2019-12-17,Burger King,-357.84
2017-12-21,Stellar,4294.88
2016-06-24,Papa John's,3508.84
2019-11-17,Mindbox,-3496.09
2016-09-11,Dr. Head,-2078.73
2016-12-30,Coinbase,-1781.2
2016-03-06,Dodo Pizza,-3629.15
